gene,pValue,fdr,logFoldChange
ENSG00000005448,0.00053530751481922,0.0490660830972247,-0.07337774126921776
ENSG00000005469,0.1971433268856818,0.7382870292069392,0.033519721140402914
ENSG00000005471,0.34542722966430206,0.893094114620783,0.009401489012696787
ENSG00000005483,0.9930928657426442,1.0,0.017570015584967305
ENSG00000005486,0.4514104571522356,0.893094114620783,0.016219505916392485
ENSG00000005513,0.8017971870653839,0.9464433293914813,0.014019714557555192
ENSG00000005700,0.36341750981729803,0.893094114620783,0.04834098274607396
ENSG00000005801,0.31117348321510785,0.8723780264862444,0.044622154350493395
ENSG00000005810,3.014139110530587e-05,0.01141820249838518,-0.26486039572480563
ENSG00000005812,0.1971091757037412,0.7382870292069392,-0.05770581177471225
ENSG00000005844,0.1073839238500904,0.5766559872829826,-0.19838951290638904
ENSG00000005882,0.07598625541965419,0.4938366217537262,-0.03709261245299159
ENSG00000005884,0.0704372125908512,0.47693352364147334,-0.0654552022887382
ENSG00000005889,5.899757071055648e-07,0.0007523057876929931,-0.30047794195233934
ENSG00000005893,0.009173133193207674,0.19016085348429976,0.1574432741586833
ENSG00000005961,0.0007594780560778908,0.058381509080242824,-0.5285257985475742
ENSG00000005981,0.29493025995299627,0.857132418572339,0.053405141429650076
ENSG00000006007,0.00013490005546994062,0.025436157375872903,0.14273507963444623
ENSG00000006015,0.051464806469673635,0.4166679149379459,-0.18344549609123448
ENSG00000006016,0.010929664452134348,0.2066818261958917,-0.0418399572746426
ENSG00000006025,0.11318582975011413,0.585581342340835,0.04917944039542936
ENSG00000006042,0.8830130239304063,0.9739989734767273,0.02115878133161852
ENSG00000006047,1.0,1.0,-0.017685620819857053
ENSG00000006059,0.6714634012265954,0.893094114620783,0.0005459036498634734
ENSG00000006062,0.18537617773988324,0.7223932632848088,0.08889934692604413
ENSG00000006071,0.7884424360156889,0.940771207195822,0.030033637507144915
ENSG00000006116,0.19119742867491685,0.7298260715091583,-0.15104632528466128
ENSG00000006118,0.910405520748208,0.9822230024147954,-0.00839958140382967
ENSG00000006125,0.6588795077623553,0.893094114620783,-0.002581287844826923
ENSG00000006128,0.6714634012265954,0.893094114620783,0.0005459036498634734
ENSG00000006194,0.12549798020318098,0.6114817859866163,-0.034172986777185554
ENSG00000006210,0.21579112478612783,0.7666030985826429,-0.042012450598947544
ENSG00000006282,0.005460166938195188,0.1501113111004771,0.16732739900584245
ENSG00000006283,0.9654786243041334,0.99669799644512,0.012511690806891476
ENSG00000006327,0.6714634012265954,0.893094114620783,0.045478337958256856
ENSG00000006377,0.748764189901213,0.924493690640972,0.03372352784256892
ENSG00000006432,0.3772787418560143,0.893094114620783,-0.028816770678306285
ENSG00000006451,0.04106850297600759,0.3805353593769628,0.12214751361016306
ENSG00000006453,6.131442025093604e-05,0.017488728223548237,0.11405882769511076
ENSG00000006459,0.20321486119086185,0.747243971668956,0.17870158038146924
ENSG00000006468,0.2222807962491984,0.7740549334444976,-0.0702351471158798
ENSG00000006530,0.017292665057316418,0.2521236768135933,0.0871337209456383
ENSG00000006534,0.09827346693683402,0.5503999688730705,0.09059866016670379
ENSG00000006555,0.6841338969130957,0.8994609746684639,-0.010178369151154568
ENSG00000006576,0.065219929037298,0.46168688295550264,-0.08583387283423215
ENSG00000006606,0.56195027887719,0.893094114620783,-0.010939475356218765
ENSG00000006607,0.23226652450306506,0.7914614564364747,-0.05552082118746664
ENSG00000006611,0.8557597204883555,0.9662090856994363,-0.035383354629622714
ENSG00000006625,0.883010810316506,0.9739989734767273,0.011339946891418881
ENSG00000006634,0.03775892873834669,0.3664508925960608,-0.11295136292634701
ENSG00000006638,0.02729580063665383,0.31109606640434456,-0.07037318456266589
ENSG00000006652,0.06274073974493227,0.4542626539147526,-0.1646452791504796
ENSG00000006659,0.014300411609102613,0.23005356041285482,0.18557844847341146
ENSG00000006695,0.5736759698673435,0.893094114620783,-0.009872256787931475
ENSG00000006704,0.8966938798436479,0.979100467451301,0.008325637453934746
ENSG00000006712,0.00965007342344554,0.19396334412307897,-0.09643660217223315
ENSG00000006715,0.5736832733038886,0.893094114620783,0.03250959633873654
ENSG00000006740,0.6340137751074497,0.893094114620783,0.006182576548942672
ENSG00000006744,0.27163603379402823,0.8355882109507657,0.08095842620457093
ENSG00000006747,0.3543502592014047,0.893094114620783,-0.03180589525757831
ENSG00000006756,0.0039462864269228515,0.12701651673291778,-0.09559325126871573
ENSG00000006757,0.012364645935647603,0.2177372967262396,-0.07087410899581625
ENSG00000006788,0.3819828610863055,0.893094114620783,0.010040917455394772
ENSG00000006831,0.002744377546376881,0.10566828465645618,0.13229390234982707
ENSG00000006837,0.7226697427551281,0.9136900847787635,0.006481874427371176
ENSG00000007001,0.6340202390977074,0.893094114620783,0.020721925435422686
ENSG00000007038,0.010664673465076971,0.2023487606470075,-0.11506826008016191
ENSG00000007047,0.8693669741268368,0.970302617151989,-0.010012724577797527
ENSG00000007062,0.6841338969130957,0.8994609746684639,0.0525642205794447
