Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000124205	0.034668434878288044	1.4983306743987092e-4	0.025176685709910322	0.94804929425923945	NA	NA
ENSG00000156414	0.03466664440546721	1.498330304616409e-4	0.025176685704635215	0.94804929425923945	NA	NA
ENSG00000259807	0.03466664440546721	1.498330304616409e-4	0.025176685704635215	0.94804929425923945	NA	NA
ENSG00000197927	0.03466664440546721	1.498330304616407e-4	0.025176685704635215	0.94804929425923945	NA	NA
ENSG00000187715	0.03466664440546721	1.4983303046164055e-4	0.02517668570463522	0.94804929425923945	NA	NA
ENSG00000182931	0.03466664440546721	1.4983303046164052e-4	0.025176685704635215	0.94804929425923945	NA	NA
ENSG00000110169	0.03466664440546721	1.4983303046164025e-4	0.025176685704635215	0.94804929425923945	NA	NA
ENSG00000171109	2.680893861859626	1.4895256497243856e-4	0.024966833542014014	0.956266475591496	NA	NA
ENSG00000251230	0.08084963285056634	1.477295489262371e-4	0.025175393274376522	0.9255275023556929	NA	NA
ENSG00000178685	0.10523093469881645	1.475680762510218e-4	0.025174800630487736	0.9187586907259049	NA	NA
ENSG00000048649	1.894360695638121	1.4746422731175127e-4	0.025027562032133136	0.9569231971720618	NA	NA
ENSG00000113594	1.8943524247292598	1.4727617783319644e-4	0.025027679060850717	0.9569614455329056	NA	NA
ENSG00000063127	0.6707029912069606	1.472599235186734e-4	0.025124465743734233	0.9273323698532564	NA	NA
ENSG00000067606	1.897133753592255	1.4713241250739935e-4	0.025029063520038575	0.9567116192079952	NA	NA
ENSG00000137309	1.8947344378526423	1.4680215600729104e-4	0.025028353757381203	0.9570038611446638	NA	NA
ENSG00000169689	2.510522071262888	1.4505561238552928e-4	0.02498182647687054	0.9626598932727464	NA	NA
ENSG00000214548	1.2821733599740828	1.4482420076239715e-4	0.025075938234355628	0.9474144331435184	NA	NA
ENSG00000166801	1.6756728606900626	1.4476100055701142e-4	0.025045139404841894	0.9492357360801904	NA	NA
ENSG00000118496	1.6749069794277607	1.445926959270373e-4	0.02504513123338507	0.949334859697405	NA	NA
ENSG00000154027	0.6697427151848742	1.4426363618495186e-4	0.02512466525108816	0.9275372632600628	NA	NA
ENSG00000134470	1.2827672689556844	1.4407596825807698e-4	0.02507586717443959	0.9474291039037778	NA	NA
ENSG00000149308	1.6751237361744777	1.4335165468605494e-4	0.025045055031145177	0.9491486025548095	NA	NA
ENSG00000164284	1.675446114334382	1.4318084873567155e-4	0.025045056576201374	0.9492306512165781	NA	NA
ENSG00000118096	1.6752685491904413	1.427763525692164e-4	0.025045052021510906	0.9494442647996921	NA	NA
ENSG00000188277	0.6927470266157878	1.424064934002384e-4	0.025122540643935917	0.9397324452760615	NA	NA
ENSG00000140368	0.5664519599482896	1.4202939159092497e-4	0.025132750978676843	0.975176229728909	NA	NA
ENSG00000170425	2.3102017639773944	1.4198539276910908e-4	0.024996743988171994	0.9635445279184852	NA	NA
ENSG00000198792	2.924370240106808	1.4191650567265887e-4	0.024947896589682928	0.9675279712218758	NA	NA
ENSG00000143851	0.2317632887453015	1.4155883913838404e-4	0.025162887227943746	0.9197659944643484	NA	NA
ENSG00000135917	0.18487758341173882	1.4115720975935687e-4	0.025167826507617064	0.9198812459444866	NA	NA
ENSG00000140104	0.1854052409645798	1.409394941102361e-4	0.02516782347249803	0.9198719691958199	NA	NA
ENSG00000223478	0.23131233038819288	1.4056842530797367e-4	0.025162880742189298	0.9197726535297819	NA	NA
ENSG00000027001	4.955109469449078	1.4050965163635718e-4	0.024793323261226134	0.9743495099829178	NA	NA
ENSG00000099901	0.2311663799192867	1.4047555048509304e-4	0.025162880481571996	0.9197748111064669	NA	NA
ENSG00000104951	0.16237964226801255	1.402511888610932e-4	0.025169868211950608	0.9232352226341041	NA	NA
ENSG00000130226	0.2309140104441753	1.401596848708697e-4	0.025162878801523528	0.9197785446475059	NA	NA
ENSG00000171224	0.5663170939412999	1.4015167292360107e-4	0.02513273777249616	0.9752437912047012	NA	NA
ENSG00000145331	0.23091626870034074	1.4015164405619028e-4	0.025162878730501638	0.9197785112233468	NA	NA
ENSG00000173614	0.20788255674762462	1.4009090044382188e-4	0.025165467202468168	0.9185504037006674	NA	NA
ENSG00000002919	3.3394948524075905	1.4004524808607145e-4	0.02491613850134909	0.9714619441235242	NA	NA
ENSG00000023892	1.7000376764213867	1.4003313961800324e-4	0.025043483351364224	0.9567128535449425	NA	NA
ENSG00000224376	0.18453936374665852	1.3984935323479997e-4	0.02516781663815443	0.9198872052316561	NA	NA
ENSG00000086232	2.922904344638778	1.3971142405159158e-4	0.024947504421756177	0.9675593262928258	NA	NA
ENSG00000185955	0.20783556665882413	1.3958515579414157e-4	0.025165463114138368	0.9185511836520466	NA	NA
ENSG00000138835	0.5663430768875335	1.3925340693837253e-4	0.02513273176904606	0.9753523804817108	NA	NA
ENSG00000116704	1.697858725555937	1.3907561145562735e-4	0.025043386618993826	0.9570039881557697	NA	NA
ENSG00000185869	0.16157926987235718	1.3833479312201521e-4	0.025169854179880127	0.9232503638172037	NA	NA
ENSG00000170222	1.6982400393072488	1.378904054647699e-4	0.02504317590079917	0.9570218829476591	NA	NA
ENSG00000222001	0.162112381635634	1.3782553657249821e-4	0.02516984884263429	0.923240270793491	NA	NA
ENSG00000216657	0.1619116950182515	1.377850461986769e-4	0.025169848953192332	0.923244066595427	NA	NA
ENSG00000050555	0.20861825314309734	1.374973534219232e-4	0.025165443656515192	0.9185382138196396	NA	NA
ENSG00000132879	0.4748138165800707	1.3727738074634127e-4	0.025140537975536274	0.9210457992905908	NA	NA
ENSG00000123094	0.4731698898390379	1.3727144444543e-4	0.02514034009676064	0.920819363811774	NA	NA
ENSG00000136492	0.1618480365196616	1.3715429140732775e-4	0.0251698439691834	0.9232452715578676	NA	NA
ENSG00000100170	3.5484925284754945	1.3590297166470288e-4	0.024902255955591212	0.8415425708770213	NA	NA
ENSG00000260793	1.0871573362167575	1.351108436136114e-4	0.0250911860582931	0.945787159740816	NA	NA
ENSG00000133874	0.13885703062846977	1.3509665111493548e-4	0.025171577110668666	0.9282911208362189	NA	NA
ENSG00000170633	2.7266606217904807	1.3498127530128998e-4	0.02496295257561	0.9682918935833761	NA	NA
ENSG00000171246	1.2822737384724834	1.347517611584843e-4	0.02508304971368447	0.9499867948316787	NA	NA
ENSG00000137601	2.5063066414628468	1.3462766905174568e-4	0.024980383453754307	0.962878262508237	NA	NA
ENSG00000105963	0.20844365395096276	1.3436917760328577e-4	0.025165418681343858	0.9185411031565338	NA	NA
ENSG00000169519	0.13929007451106767	1.3407329905993474e-4	0.02517156793578507	0.9282819754818473	NA	NA
ENSG00000273183	0.13899260951707795	1.3405506363938432e-4	0.025171568415617337	0.9282882546140736	NA	NA
ENSG00000198466	0.1386731448436922	1.3378175653637025e-4	0.02517156688160856	0.9282950126240849	NA	NA
ENSG00000177989	0.02400476016145808	1.3287334104984514e-4	0.025176506987601325	0.9651446404749652	NA	NA
ENSG00000187260	0.02400476016145808	1.3287334104984514e-4	0.025176506987601325	0.9651446404749652	NA	NA
ENSG00000198208	0.02400476016145808	1.3287334104984514e-4	0.025176506987601325	0.9651446404749652	NA	NA
ENSG00000198822	0.02400476016145808	1.3287334104984514e-4	0.025176506987601325	0.9651446404749652	NA	NA
ENSG00000228037	0.02400476016145808	1.3287334104984514e-4	0.025176506987601325	0.9651446404749652	NA	NA
ENSG00000231890	0.02400476016145808	1.3287334104984514e-4	0.025176506987601325	0.9651446404749652	NA	NA
ENSG00000124490	0.13865261636928966	1.3279405277649828e-4	0.02517155897582519	0.9282954474016045	NA	NA
ENSG00000150045	0.13867466774133957	1.3235542855851852e-4	0.02517155545871623	0.9282949803727466	NA	NA
ENSG00000018869	0.02358857584668104	1.323200965265649e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000153902	0.02358857584668104	1.323200965265649e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000140961	0.02358857584668104	1.3232009652656466e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000004777	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000007376	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000099904	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000100092	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000107872	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
ENSG00000114923	0.02358857584668104	1.3232009652656458e-4	0.025176501523554745	0.9651446404749652	NA	NA
